time,traj_num,met_grid,forecast_hour,traj_age,latitude_modeled,longitude_modeled,altitude_modeled,pressure,rainfall,mixdepth,uwind,vwind,pid,delay,L_km,index,balloon_callsign,latitude_observed,longitude_observed,altitude_observed,wind_speed,wind_speed_error,wind_direction,wind_direction_error,vertical_motion,tel_1,tel_2,tel_3,tel_4,tel_5,ahtd_km,hour_since_launch,rhtd,time_elapsed
2025-03-15 09:00:00,1,1,3.0,114.0,22.202,111.768,14422.7,142.8,0.0,199.7,35.6,3.2,AB5SS-143.d85,85,14193.972103443995,299.0,AB5SS-143,20.438,73.125,14360.0,34.0,6.0,253.0,10.0,-0.0,,,,,,3996.994822904623,114.0,0.2815980469578913,114.0
2025-03-15 10:00:00,1,1,2.0,115.0,22.281,113.019,14488.9,143.1,0.0,181.7,36.0,1.8,AB5SS-143.d85,85,14323.026024150608,300.0,AB5SS-143,21.271,75.958,14360.0,45.8,8.5,250.0,11.0,0.0,,,,,,3818.9862575320312,115.0,0.2666326411117798,115.0
2025-03-15 11:00:00,1,1,1.0,116.0,22.334,114.281,14469.7,142.4,0.0,155.1,36.2,1.4,AB5SS-143.d85,85,14452.985187595688,301.0,AB5SS-143,21.312,76.125,14420.0,37.8,8.5,253.0,13.0,0.1,,,,,,3929.820703855067,116.0,0.2719037384213087,116.0
2025-03-15 12:00:00,1,1,0.0,117.0,22.356,115.561,14513.7,142.6,0.0,242.4,36.7,-0.1,AB5SS-143.d85,85,14584.64970232416,304.0,AB5SS-143,21.604,76.875,14360.0,36.9,7.7,250.0,12.0,0.0,,,,,,3978.81465437665,117.0,0.272808379740694,117.0
2025-03-16 01:00:00,1,1,1.0,130.0,21.487,132.887,14482.0,143.0,0.0,795.4,40.0,-3.6,AB5SS-143.d85,85,16373.860650171551,305.0,AB5SS-143,24.646,94.292,14540.0,42.8,8.5,259.0,11.0,0.5,,,,,,3951.417083927566,130.0,0.241324704561118,130.0
2025-03-16 02:00:00,1,1,2.0,131.0,21.365,134.275,14469.3,143.1,0.0,700.3,39.7,-3.8,AB5SS-143.d85,85,16518.17141766433,306.0,AB5SS-143,24.688,94.542,14240.0,42.8,8.5,259.0,11.0,0.0,,,,,,4069.030376685267,131.0,0.2463366115897003,131.0
2025-03-16 04:00:00,1,1,2.0,133.0,21.149,136.959,14451.8,143.6,0.0,1133.2,37.5,-2.6,AB5SS-143.d85,85,16797.355513249455,307.0,AB5SS-143,25.354,99.375,14300.0,49.2,2.1,263.0,2.0,0.1,,,,,,3855.70144685384,133.0,0.229542170719226,133.0
2025-03-16 05:00:00,1,1,1.0,134.0,21.077,138.238,14445.6,143.9,0.0,1185.3,36.1,-2.1,AB5SS-143.d85,85,16930.267941923328,308.0,AB5SS-143,25.438,100.208,14120.0,48.0,2.5,263.0,3.0,-0.0,,,,,,3902.3456955343568,134.0,0.2304952118253976,134.0
2025-03-16 06:00:00,1,1,0.0,135.0,21.007,139.439,14441.7,144.2,0.0,1185.4,33.3,-2.1,AB5SS-143.d85,85,17055.15042355083,308.0,AB5SS-143,25.438,100.208,14120.0,48.0,2.5,263.0,3.0,-0.0,,,,,,4024.893113286132,135.0,0.2359928240637681,135.0
2025-03-16 07:00:00,1,1,1.0,136.0,20.952,140.61,14441.9,144.0,0.1,1197.8,34.1,-1.6,AB5SS-143.d85,85,17176.881371963555,309.0,AB5SS-143,25.438,104.125,14240.0,56.2,8.5,278.0,9.0,0.0,,,,,,3750.734549634776,136.0,0.2183594605104975,136.0
