time,traj_num,met_grid,forecast_hour,traj_age,latitude_modeled,longitude_modeled,altitude_modeled,pressure,rainfall,mixdepth,uwind,vwind,pid,delay,L_km,index,balloon_callsign,latitude_observed,longitude_observed,altitude_observed,wind_speed,wind_speed_error,wind_direction,wind_direction_error,vertical_motion,tel_1,tel_2,tel_3,tel_4,tel_5,ahtd_km,hour_since_launch,rhtd,time_elapsed
2021-03-31 22:00:00,1,1,2.0,215.0,29.274,128.434,13093.1,174.9,0.8,939.3,54.0,-1.7,KN4TPG.d1048,1048,28231.07547081573,1369.0,KN4TPG,23.8125,156.45817,13420.0,10.6,6.4,270.0,31.0,-0.1,,,,,,2845.7365451492333,215.0,0.1008015634434846,215.0
2021-03-31 23:00:00,1,1,1.0,216.0,29.211,130.401,13103.4,175.0,0.3,990.9,52.4,-2.3,KN4TPG.d1048,1048,28422.048424247874,1374.0,KN4TPG,23.72917,156.79167,13480.0,11.8,7.7,222.0,34.0,0.0,,,,,,2690.388023783026,216.0,0.0946584842733488,216.0
2021-04-01 00:00:00,1,1,0.0,217.0,29.091,132.343,13123.7,174.6,0.2,1032.7,52.4,-5.9,KN4TPG.d1048,1048,28611.106976579995,1380.0,KN4TPG,23.8125,157.125,13540.0,12.7,8.5,200.0,36.0,0.0,,,,,,2530.7473188233034,217.0,0.0884533171294239,217.0
2021-04-01 01:00:00,1,1,1.0,218.0,28.815,134.241,13128.7,174.5,0.0,1210.1,49.8,-11.1,KN4TPG.d1048,1048,28798.308021242214,1383.0,KN4TPG,23.97917,157.625,13600.0,12.6,3.8,249.0,18.0,0.0,,,,,,2386.007869135896,218.0,0.082852362971322,218.0
2021-04-01 02:00:00,1,1,2.0,219.0,28.367,136.073,13134.5,174.1,0.0,1342.3,49.4,-16.8,KN4TPG.d1048,1048,28983.981265881463,1386.0,KN4TPG,24.10417,158.125,13600.0,14.6,5.2,258.0,19.0,-0.0,,,,,,2246.4797645284857,219.0,0.0775076323683983,219.0
2021-04-01 03:00:00,1,1,3.0,220.0,27.736,137.861,13130.8,174.2,0.0,1470.8,47.9,-22.4,KN4TPG.d1048,1048,29172.947619383194,1387.0,KN4TPG,24.27067,158.54167,13600.0,15.2,2.3,248.0,8.0,0.0,,,,,,2099.7333094043497,220.0,0.0719753566488851,220.0
2021-04-01 04:00:00,1,1,2.0,221.0,26.986,139.538,13132.5,174.6,0.0,1481.2,43.8,-24.3,KN4TPG.d1048,1048,29358.36982187705,1389.0,KN4TPG,24.47917,159.125,13660.0,17.0,5.1,245.0,17.0,0.0,,,,,,1979.6247924621607,221.0,0.0674296564990812,221.0
2021-04-01 05:00:00,1,1,1.0,222.0,26.178,141.068,13136.3,175.0,0.0,1271.3,40.8,-25.1,KN4TPG.d1048,1048,29535.05969017843,1394.0,KN4TPG,24.6875,159.79167,13600.0,19.7,7.6,248.0,22.0,-0.0,,,,,,1885.86408281812,222.0,0.0638517105636743,222.0
2021-04-01 06:00:00,1,1,0.0,223.0,25.359,142.5,13139.8,175.4,0.0,1158.9,38.7,-25.4,KN4TPG.d1048,1048,29704.928345503253,1399.0,KN4TPG,24.89567,160.45817,13720.0,20.9,7.6,249.0,21.0,0.0,,,,,,1807.2688614780325,223.0,0.0608407076582501,223.0
2021-04-01 20:00:00,1,1,2.0,237.0,17.691,158.507,13302.5,172.1,0.4,951.8,34.0,-1.8,KN4TPG.d1048,1048,31614.263639818728,1400.0,KN4TPG,25.22917,174.875,13480.0,42.6,8.5,260.0,11.0,0.0,,,,,,1887.6044413820125,237.0,0.0597073669938192,237.0
2021-04-01 21:00:00,1,1,3.0,238.0,17.662,159.671,13325.3,171.7,0.5,1098.9,34.5,0.1,KN4TPG.d1048,1048,31737.62555305039,1402.0,KN4TPG,25.3125,175.29167,13480.0,38.1,8.5,258.0,13.0,0.0,,,,,,1824.2727107751573,238.0,0.0574798107604436,238.0
2021-04-01 22:00:00,1,1,2.0,239.0,17.678,160.816,13341.4,171.2,0.1,1188.5,32.9,0.8,KN4TPG.d1048,1048,31858.949799657355,1408.0,KN4TPG,25.52067,176.625,13480.0,37.8,8.5,260.0,13.0,0.0,,,,,,1850.2555033647136,239.0,0.0580764750564569,239.0
2021-04-01 23:00:00,1,1,1.0,240.0,17.698,161.943,13353.6,170.8,0.1,1076.8,33.5,0.4,KN4TPG.d1048,1048,31978.36268480734,1414.0,KN4TPG,25.72917,178.04167,13480.0,40.1,8.5,260.0,12.0,0.0,,,,,,1885.2332737677336,240.0,0.0589534020972059,240.0
2021-04-02 00:00:00,1,1,0.0,241.0,17.715,163.089,13357.0,170.7,0.2,1090.8,34.0,0.8,KN4TPG.d1048,1048,32099.76988560717,1417.0,KN4TPG,25.89567,179.375,13480.0,35.3,5.2,260.0,9.0,0.0,,,,,,1909.0924127709784,241.0,0.0594737102345077,241.0
2021-04-02 01:00:00,1,1,1.0,242.0,17.722,164.243,13357.5,170.7,0.1,1160.4,33.9,-0.5,KN4TPG.d1048,1048,32222.00408576456,1422.0,KN4TPG,26.02067,-179.20833,13480.0,39.3,7.6,264.0,11.0,0.0,,,,,,1938.3661571068124,242.0,0.0601565983278851,242.0
2021-04-02 02:00:00,1,1,2.0,243.0,17.676,165.394,13365.8,170.6,0.1,1119.6,33.9,-2.4,KN4TPG.d1048,1048,32344.03853607292,1428.0,KN4TPG,26.10417,-177.875,13540.0,37.2,8.5,266.0,13.0,0.0,,,,,,1961.4611258237585,243.0,0.0606436677236877,243.0
